soc_id,lat,lng,Preferred_name,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37
30100,52.16,1.45,Suffolk,0.58,0.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.43,0.14,0.0,0.0,0.67,0.42,0.33,0.7,0.67,0.5,0.4,0.0,0.75,0.67,0.75,0.4,1.0,1.0,1.0,0.0,1.0,0.5,0.43,0.5,0.25,0.2,0.5
30101,50.8,-0.05,Sussex,0.42,0.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.43,0.14,0.0,0.0,0.67,0.42,0.33,0.6,0.67,0.75,0.4,0.8,1.0,0.33,0.5,1.0,1.0,0.8,0.5,0.0,1.0,0.75,0.71,0.5,0.25,0.6,0.5
30103,22.03,98.13,Shan,0.08,0.62,0.45,0.25,0.0,0.0,0.75,0.5,0.5,0.0,0.43,0.0,0.5,0.29,0.67,0.5,0.0,0.9,0.0,0.75,0.4,0.0,0.5,0.33,0.5,0.2,0.8,0.4,0.0,0.0,1.0,0.5,0.71,1.0,1.0,0.8,0.5
30104,38.5,-122.99,Central Pomo,0.08,0.12,0.09,0.25,0.0,0.0,0.25,0.0,0.0,0.75,0.43,0.0,0.17,0.0,0.67,0.83,0.67,0.3,0.67,0.5,0.4,0.0,1.0,0.33,0.5,1.0,1.0,0.8,0.5,0.75,0.0,0.5,0.71,0.33,0.25,0.2,0.5
30106,46.37,11.66,Trentino Alto Adige,0.58,0.12,0.27,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.43,0.14,0.5,0.57,0.67,0.17,0.67,0.4,1.0,0.75,0.4,0.8,1.0,0.83,0.75,1.0,1.0,1.0,0.0,0.75,1.0,0.5,0.71,0.5,0.75,0.2,0.0
30112,43.41,22.12,Serbia,0.08,0.62,0.09,0.25,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.67,0.33,0.0,0.6,0.0,0.25,0.2,0.0,0.0,0.33,0.75,0.0,0.0,0.0,0.0,0.0,0.33,0.25,0.43,0.33,1.0,0.8,0.5
30134,1.62,35.39,Pokot,0.58,0.0,0.0,0.5,1.0,0.75,0.0,0.0,0.0,0.75,0.86,0.14,0.0,0.0,0.67,0.92,0.67,0.9,0.67,0.5,0.6,0.4,1.0,0.33,0.25,0.4,1.0,1.0,1.0,0.75,1.0,0.75,0.71,1.0,1.0,0.8,0.75
30150,1.62,35.39,Riffians,0.58,1.0,0.82,0.5,0.5,0.5,1.0,0.75,1.0,0.75,0.43,0.14,0.5,0.71,0.67,0.58,0.33,1.0,0.0,0.25,0.4,0.0,0.25,0.83,0.75,1.0,1.0,0.4,0.5,0.75,0.33,0.5,0.0,0.0,0.25,0.6,0.5
30163,5.6,-0.18,Ewe,0.58,0.25,0.91,0.5,0.75,1.0,1.0,1.0,1.0,0.75,0.43,0.14,0.5,0.86,0.67,0.08,0.33,0.0,0.67,0.5,0.6,0.0,1.0,0.67,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.71,1.0,1.0,0.8,0.75
30167,6.74,-1.99,Ashanti,0.75,0.25,0.91,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.43,0.14,0.5,0.86,0.67,0.42,0.33,0.3,0.0,0.5,0.6,0.8,1.0,0.67,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.71,1.0,1.0,0.8,0.75
30174,-0.43,36.95,Gĩkũyũ,0.58,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.75,0.43,0.14,0.0,0.0,0.67,0.42,0.67,0.7,0.67,0.25,0.6,0.0,1.0,0.83,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.71,0.83,0.75,0.6,0.75
30175,-2.51,32.91,Sukuma,0.58,0.0,0.0,0.5,0.75,0.5,0.0,0.0,0.0,0.5,0.86,0.14,0.0,0.0,1.0,0.17,0.33,0.0,0.0,0.5,0.6,0.0,1.0,0.67,0.25,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.71,1.0,1.0,0.8,0.75
30176,-11.3,159.79,Mungiki,0.58,0.12,0.36,1.0,0.75,0.75,0.5,1.0,0.75,0.5,0.86,0.14,0.17,0.14,0.67,0.83,0.0,0.9,0.33,0.5,0.6,0.6,1.0,0.83,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.71,1.0,1.0,0.8,0.5
