,song_id,Preferred_name,society_id,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37,lat,lng
38,4431,Abaluhya,10027,0.46,1.0,0.85,0.54,0.54,0.77,1.0,0.77,0.77,0.77,0.46,0.23,0.46,0.85,0.0,0.46,0.77,0.62,0.08,0.54,0.54,0.08,1.0,0.85,0.54,1.0,1.0,0.69,0.54,0.77,1.0,0.77,0.46,0.54,0.31,0.77,0.77,-1.29,36.82
39,4428,Abaluhya,10027,0.62,0.15,0.85,0.54,0.54,0.77,1.0,0.31,0.77,0.0,0.85,0.23,0.46,0.85,0.69,0.15,0.77,0.08,0.31,0.31,0.77,0.08,1.0,0.85,0.31,1.0,1.0,1.0,1.0,0.0,1.0,0.77,0.46,0.31,0.31,0.77,0.77,-1.29,36.82
40,4429,Abaluhya,10027,0.62,1.0,0.85,0.54,0.54,0.77,1.0,0.54,1.0,0.54,0.85,0.23,0.46,0.85,0.69,0.69,0.77,0.85,0.31,0.31,0.54,0.08,1.0,0.85,0.31,1.0,1.0,1.0,0.54,0.54,1.0,0.77,0.62,0.31,0.54,0.77,0.77,-1.29,36.82
41,30116,Abaluhya,10027,0.62,0.15,0.46,0.54,1.0,1.0,0.54,1.0,1.0,0.77,0.69,0.23,0.23,0.23,0.69,0.38,1.0,0.38,0.31,0.77,0.77,0.08,1.0,0.69,0.54,1.0,1.0,0.69,1.0,0.77,1.0,0.54,0.77,1.0,0.77,0.54,0.77,-1.29,36.82
42,30118,Abaluhya,10027,0.62,0.15,0.46,0.54,1.0,1.0,0.54,1.0,1.0,0.54,0.69,0.23,0.46,0.54,1.0,0.54,1.0,0.85,0.08,0.77,0.54,0.08,0.77,0.85,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.62,1.0,0.77,0.54,0.54,-1.29,36.82
43,30119,Abaluhya,10027,0.62,0.92,0.92,0.54,1.0,1.0,1.0,0.54,1.0,0.54,0.85,0.23,0.85,0.54,0.69,0.23,0.54,0.08,0.08,0.77,0.54,0.08,1.0,0.85,0.77,1.0,1.0,0.69,0.54,0.54,1.0,0.77,0.62,1.0,0.77,0.31,0.54,-1.29,36.82
44,2216,Abelam,10033,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,1.0,0.08,0.08,0.08,1.0,0.08,1.0,0.23,0.08,0.31,0.54,0.08,0.77,0.08,0.77,0.08,1.0,0.69,1.0,0.08,1.0,0.54,0.46,0.31,0.08,0.54,0.77,-5.55,150.14
45,2211,Abelam,10033,0.38,0.23,0.46,0.54,0.54,0.77,0.54,1.0,0.31,0.54,1.0,0.23,0.85,0.23,0.69,0.08,0.08,0.08,0.08,0.54,0.77,0.08,1.0,0.38,0.77,0.08,0.38,0.08,1.0,0.54,1.0,0.54,0.62,0.77,0.54,0.54,0.77,-5.55,150.14
46,2214,Abelam,10033,0.46,0.08,0.08,1.0,0.54,1.0,0.08,0.08,0.08,1.0,1.0,0.23,0.08,0.08,0.69,0.08,0.54,0.08,0.31,0.77,0.77,0.46,1.0,0.69,0.77,0.08,1.0,0.08,0.08,1.0,1.0,0.77,0.62,0.77,0.31,0.77,1.0,-5.55,150.14
47,2218,Abelam,10033,0.46,0.69,0.38,0.54,0.54,1.0,1.0,0.77,0.77,0.77,1.0,0.23,0.85,0.54,0.69,0.54,0.08,1.0,0.69,0.54,0.77,0.08,0.77,0.08,1.0,0.08,1.0,0.08,0.08,0.77,1.0,0.54,0.46,0.31,0.08,0.77,1.0,-5.55,150.14
48,9150,Abelam,10033,0.46,0.08,0.08,0.54,0.77,0.77,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.85,0.77,0.85,0.31,0.54,1.0,0.08,1.0,0.69,0.54,0.69,1.0,0.38,0.54,0.54,0.54,0.54,1.0,0.54,0.77,0.77,1.0,-5.55,150.14
49,2210,Abelam,10033,0.62,0.08,0.08,1.0,0.77,1.0,0.08,0.08,0.08,0.54,1.0,1.0,0.08,0.08,0.69,0.08,0.54,0.08,0.69,0.77,0.77,0.62,1.0,0.08,0.77,0.08,1.0,0.08,1.0,0.54,1.0,0.54,0.46,0.77,0.31,0.77,1.0,-5.55,150.14
50,2219,Abelam,10033,0.62,0.69,0.46,0.54,0.54,0.77,0.54,1.0,0.31,0.54,1.0,0.23,0.85,0.38,0.69,0.08,0.54,0.08,0.08,0.54,0.54,0.08,1.0,0.38,0.77,0.08,0.38,0.38,1.0,0.54,1.0,0.54,0.46,0.54,0.54,0.31,1.0,-5.55,150.14
51,2213,Abelam,10033,0.69,0.23,0.46,1.0,1.0,1.0,0.54,1.0,0.77,0.77,1.0,0.23,0.23,0.23,0.69,0.08,0.77,0.08,0.69,0.77,0.77,0.23,1.0,0.69,0.77,0.08,0.69,0.38,1.0,0.77,1.0,0.54,0.62,0.77,0.54,0.54,0.77,-5.55,150.14
52,2217,Abelam,10033,0.85,0.46,0.62,0.08,0.54,0.08,0.54,1.0,0.54,0.77,1.0,0.08,1.0,0.38,1.0,1.0,0.77,1.0,0.08,0.54,0.54,0.08,1.0,0.08,1.0,0.08,0.08,0.08,0.08,0.77,1.0,0.54,0.46,0.31,0.31,0.31,1.0,-5.55,150.14
53,2212,Abelam,10033,0.92,0.08,0.08,0.54,0.77,0.77,0.08,0.08,0.08,0.54,1.0,0.23,0.08,0.08,0.69,0.08,0.77,0.08,0.69,0.54,0.54,0.08,1.0,0.23,0.77,0.08,1.0,0.08,1.0,0.54,1.0,1.0,0.62,0.77,0.31,0.31,1.0,-5.55,150.14
54,2220,Abelam,10033,0.92,0.23,0.46,0.54,0.31,0.77,0.54,1.0,0.31,0.54,1.0,0.23,0.85,0.23,0.69,0.08,0.08,0.08,0.69,0.77,0.31,0.08,1.0,0.23,1.0,0.08,0.38,0.38,0.54,0.54,1.0,0.54,0.46,0.31,0.08,0.08,1.0,-5.55,150.14
