,index,canto_coding_id,region,division,subregion,area_kingdom,culture,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
33,0,315,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Ndongo,3.73,29.7,0.77,0.92,0.92,0.31,0.08,0.08,1.0,0.77,1.0,0.31,0.85,0.08,0.46,0.85,1.0,0.77,0.77,1.0,0.31,0.77,0.77,0.08,0.77,0.69,0.77,1.0,1.0,0.38,0.54,0.31,1.0,0.77,0.62,0.54,1.0,0.31,0.54
34,0,316,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Ndongo,3.73,29.7,1.0,0.92,0.92,1.0,0.77,1.0,1.0,0.77,1.0,0.77,0.69,1.0,0.69,0.85,1.0,1.0,1.0,0.92,0.85,0.77,0.77,1.0,1.0,0.69,0.77,1.0,1.0,0.69,0.54,0.77,1.0,0.77,0.62,0.77,0.77,0.31,0.77
35,0,325,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Forest Bira,-0.79,29.04,0.96,0.92,0.92,1.0,0.54,1.0,1.0,0.77,1.0,0.54,0.46,1.0,0.85,0.85,0.69,0.85,1.0,1.0,0.08,0.54,0.77,1.0,1.0,0.85,0.77,1.0,1.0,0.69,0.08,0.54,1.0,0.42,0.81,0.54,0.31,0.31,0.54
36,0,326,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Forest Bira,-0.79,29.04,0.88,0.15,0.15,1.0,0.77,0.77,0.31,0.08,0.08,1.0,0.85,1.0,0.46,0.08,1.0,0.88,0.77,0.85,0.08,0.77,0.77,1.0,1.0,0.38,1.0,0.69,1.0,0.08,0.08,1.0,1.0,0.77,0.88,0.31,0.31,0.31,0.77
37,0,227,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Lendu,1.57,30.23,0.15,0.62,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.31,0.85,0.08,0.69,0.08,1.0,0.31,0.77,0.08,0.08,0.54,0.77,0.08,1.0,0.69,0.31,0.69,0.69,0.69,1.0,0.31,1.0,0.77,0.62,0.54,0.31,0.77,0.54
38,0,228,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Lendu,1.57,30.23,0.15,0.92,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.54,0.85,0.08,0.69,0.08,1.0,0.31,1.0,1.0,0.31,0.77,1.0,0.08,1.0,0.69,0.31,0.69,1.0,0.69,0.54,0.54,1.0,0.31,0.62,0.54,1.0,0.77,0.77
39,0,229,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Lendu,1.57,30.23,0.15,0.15,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.31,0.69,0.08,0.69,0.08,0.69,0.62,1.0,1.0,0.31,0.31,0.77,0.08,1.0,0.69,0.31,0.69,0.69,0.69,1.0,0.31,1.0,0.77,0.62,0.31,0.31,0.77,0.54
40,0,230,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Lese,2.72,30.64,1.0,0.08,0.08,1.0,0.54,1.0,0.08,0.08,0.08,1.0,0.46,1.0,0.08,0.08,1.0,1.0,1.0,1.0,1.0,0.54,0.77,1.0,1.0,0.69,0.77,1.0,1.0,0.69,0.08,1.0,1.0,0.77,0.62,0.54,0.54,0.31,0.77
41,0,9213,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",BaNguana,2.72,30.64,0.15,0.0,0.15,0.08,0.08,0.08,1.0,0.0,0.08,0.77,0.46,0.08,0.46,0.08,0.85,0.85,0.77,1.0,0.08,0.54,0.77,0.08,1.0,0.85,0.31,1.0,1.0,0.69,0.54,0.77,1.0,0.31,0.81,0.77,0.54,1.0,0.77
42,0,9255,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",BaNguana,2.72,30.64,0.85,0.15,0.15,1.0,0.54,0.77,0.31,0.08,0.08,0.77,0.46,0.54,0.46,0.08,0.69,0.85,0.54,1.0,0.69,0.77,0.54,0.62,1.0,0.69,0.54,1.0,1.0,1.0,1.0,0.77,1.0,0.77,0.46,0.31,0.54,0.54,0.77
