"","soc_id.strat","xd_id.x","soc_id.canto","pref_name_for_society.x","Glottocode","SocialFactors_V33_code","line_23","line_4","line_22","Society_latitude","Society_longitude","line23_col","stratification_col","line4_col","line22_col"
"367","Cd4","xd522",17766,"Kabyle","kaby1243",NA,128,16,2,36.7,4.05,"#88C1CA",NA,"#F6C3C3","#88C1CA"
"368",NA,NA,17865,NA,"auag1234",NA,8192,128,2,-6.17,143.33,"#C52B2F",NA,"#88C1CA","#88C1CA"
"369",NA,NA,17884,NA,"kala1372",NA,16,1024,64,35.64,71.67,"#F6C3C3",NA,"#5E9AC4","#F1635B"
"370",NA,NA,17887,NA,"gali1262",NA,1024,16,2,5.84,-56.83,"#5E9AC4",NA,"#F6C3C3","#88C1CA"
"371",NA,NA,17920,NA,"torg1245",NA,128,1024,2,46.76,45.42,"#88C1CA",NA,"#5E9AC4","#88C1CA"
"372",NA,NA,17931,NA,"buza1239",NA,1024,16,2,52.52,45.95,"#5E9AC4",NA,"#F6C3C3","#88C1CA"
"373",NA,NA,17936,NA,"kalu1248",NA,8192,8192,2,-6.46,142.79,"#C52B2F",NA,"#C52B2F","#88C1CA"
"374",NA,NA,17997,NA,"kany1247",NA,8192,8192,2,-7.32,23.61,"#C52B2F",NA,"#C52B2F","#88C1CA"
"375",NA,NA,18129,NA,"wask1241",NA,8192,128,2,-4.65,145.97,"#C52B2F",NA,"#88C1CA","#88C1CA"
"376","Ef8","xd670",18173,"Kashmiri","kash1277",NA,16,2,2,34.17,74.33,"#F6C3C3",NA,"#F1635B","#88C1CA"
"377",NA,NA,18283,NA,"kaya1329",NA,1024,128,2,-11.56,-53.53,"#5E9AC4",NA,"#88C1CA","#88C1CA"
"378","Eb1","xd609",18294,"Kazakh","kaza1248","4",1024,16,2,41.87,65.77,"#5E9AC4","#F1635B","#F6C3C3","#88C1CA"
"379","Ic8","xd770",18305,"Kei","keii1239","2",128,128,2,-5.64,133.02,"#88C1CA","#88C1CA","#88C1CA","#88C1CA"
"380",NA,NA,18349,NA,"sout3302",NA,1024,16,2,36.53,-82.71,"#5E9AC4",NA,"#F6C3C3","#88C1CA"
"381","Eg6","xd682",18371,"Kerala","mala1464","5",16,16,2,10.85,76.27,"#F6C3C3","#C52B2F","#F6C3C3","#88C1CA"
"382","Ec8","xd636",18393,"Ket","kett1243","1",8192,16,2,63.76,87.55,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA"
"383",NA,NA,18431,NA,"khan1279",NA,8192,16,2,62.43,66.12,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"384",NA,NA,18448,NA,"kand1291",NA,16,1024,2,37.17,68.25,"#F6C3C3",NA,"#5E9AC4","#88C1CA"
"385",NA,NA,18536,NA,"hali1244",NA,8192,8192,256,-4.75,155.41,"#C52B2F",NA,"#C52B2F","#F6C3C3"
"386","Ne17","xd1216",18569,"Kiowa","kiow1266","1",1024,128,2,34.94,-98.91,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA"
"387","Aj9","xd414",18591,"Kipsigis","kips1239","2",8192,8192,8,-0.36,35.26,"#C52B2F","#88C1CA","#C52B2F","#C52B2F"
"388",NA,NA,18596,NA,"kirg1245",NA,1024,16,2,42.01,74.12,"#5E9AC4",NA,"#F6C3C3","#88C1CA"
"389",NA,NA,18624,NA,"mani1305",NA,128,128,2,35.54,22.39,"#88C1CA",NA,"#88C1CA","#88C1CA"
"390",NA,NA,18635,NA,"kiwa1251",NA,1024,8192,1024,-8.65,143.42,"#5E9AC4",NA,"#C52B2F","#5E9AC4"
"391",NA,NA,18778,NA,"sout1549",NA,128,128,2,20.11,78.49,"#88C1CA",NA,"#88C1CA","#88C1CA"
"392",NA,NA,18811,NA,"komb1274",NA,1024,8192,256,-5.68,149.26,"#5E9AC4",NA,"#C52B2F","#F6C3C3"
"393",NA,NA,18833,NA,"kond1295",NA,16,16,2,18.27,82.93,"#F6C3C3",NA,"#F6C3C3","#88C1CA"
"394","Ca1","xd415",18888,"Konso","kons1243","3",8192,8192,8,5.39,37.53,"#C52B2F","#F6C3C3","#C52B2F","#C52B2F"
"395",NA,NA,18932,NA,"seou1239",NA,128,16,2,37.51,128.12,"#88C1CA",NA,"#F6C3C3","#88C1CA"
"396",NA,NA,18943,NA,"kork1243",NA,128,1024,2,21.84,77.55,"#88C1CA",NA,"#5E9AC4","#88C1CA"
"397","Ec5","xd633",18976,"Koryak","kory1246","3",1024,16,2,63.91,166.69,"#5E9AC4","#F6C3C3","#F6C3C3","#88C1CA"
"398",NA,NA,19014,NA,"teke1280",NA,128,8192,8,-2.27,14.44,"#88C1CA",NA,"#C52B2F","#C52B2F"
"399",NA,NA,19022,NA,"koyo1242",NA,1024,8192,8192,-0.71,15.75,"#5E9AC4",NA,"#C52B2F",NA
"400",NA,NA,19025,NA,"kova1243",NA,8192,8192,2,-5.62,NA,"#C52B2F",NA,"#C52B2F","#88C1CA"
"401","Eg11","xd674",19031,"Koya","koya1251",NA,1024,128,2,17.68,81.21,"#5E9AC4",NA,"#88C1CA","#88C1CA"
"402",NA,NA,19053,NA,"kpel1252",NA,8192,8192,8192,6.92,-9.96,"#C52B2F",NA,"#C52B2F",NA
"403","Sj4","xd1412",19064,"Canela","cane1242","1",8192,8192,256,-5.47,-46.17,"#C52B2F","#5E9AC4","#C52B2F","#F6C3C3"
"404",NA,NA,19086,NA,"west2485",NA,8192,2,2,5.87,-8.93,"#C52B2F",NA,"#F1635B","#88C1CA"
"405",NA,NA,19097,NA,"kaul1240",NA,1024,128,2,-6.08,149.71,"#5E9AC4",NA,"#88C1CA","#88C1CA"
"406","Si10","xd1398",19141,"Kuikuru","kuik1246","1",8192,128,2,-12.1,-53.29,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA"
"407",NA,NA,19196,NA,"kull1236",NA,16,128,2,31.11,77.17,"#F6C3C3",NA,"#88C1CA","#88C1CA"
"408",NA,NA,NA,NA,NA,NA,8192,8192,8192,NA,NA,"#C52B2F",NA,"#C52B2F",NA
"409",NA,NA,19273,NA,"aeky1238",NA,8192,128,2,-3.98,137.65,"#C52B2F",NA,"#88C1CA","#88C1CA"
"410",NA,NA,19284,NA,"kuni1267",NA,8192,8192,64,-8.09,146.91,"#C52B2F",NA,"#C52B2F","#F1635B"
"411","Cb2","xd469",19295,"Wolof","nucl1347","5",2,1024,2,14.91,-12.44,"#F1635B","#C52B2F","#5E9AC4","#88C1CA"
"412",NA,NA,19317,NA,"nort2641",NA,2,16,2,37.56,56.94,"#F1635B",NA,"#F6C3C3","#88C1CA"
"413",NA,NA,19328,NA,"nort2641",NA,16,16,2,39.44,47.31,"#F6C3C3",NA,"#F6C3C3","#88C1CA"
"414","Ad41","xd111",19377,"Vugusu","buku1249",NA,8192,8192,8,0.68,34.77,"#C52B2F",NA,"#C52B2F","#C52B2F"
"415","Nd7","xd1205",19394,"Kutenai","kute1249","2",8192,128,2,48.79,-115.06,"#C52B2F","#88C1CA","#88C1CA","#88C1CA"
"416",NA,NA,19438,NA,"gulf1241",NA,16,16,2,29.31,47.48,"#F6C3C3",NA,"#F6C3C3","#88C1CA"
"417","Nb3","xd1090",19460,"Kwakwaka'wakw","kwak1269","4",128,16,2,50.93,-127.31,"#88C1CA","#F1635B","#F6C3C3","#88C1CA"
"418",NA,NA,19493,NA,"caju1236",NA,1024,16,2,29.69,-91.61,"#5E9AC4",NA,"#F6C3C3","#88C1CA"
"419","Sa10","xd1310",19526,"Lacandon","laca1243","1",8192,16,2,16.41,-92.41,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA"
"420",NA,NA,19537,NA,"lagu1250",NA,8192,128,2,35.04,-107.25,"#C52B2F",NA,"#88C1CA","#88C1CA"
"421",NA,NA,19548,NA,"lahu1253",NA,1024,16,2,22.53,99.93,"#5E9AC4",NA,"#F6C3C3","#88C1CA"
"422","Ac33","xd59",19614,"Lala","lala1264","4",8192,16,2,-12.95,30.23,"#C52B2F","#F1635B","#F6C3C3","#88C1CA"
"423",NA,NA,19680,NA,"iumi1238",NA,16,16,2,21.68,102.11,"#F6C3C3",NA,"#F6C3C3","#88C1CA"
"424",NA,NA,19691,NA,"laoo1244",NA,16,16,2,20.25,102.34,"#F6C3C3",NA,"#F6C3C3","#88C1CA"
"425",NA,NA,19702,NA,"west2390",NA,128,16,2,68.72,22.11,"#88C1CA",NA,"#F6C3C3","#88C1CA"
"426",NA,NA,19724,NA," latv1249",NA,8192,8192,2,56.83,24.31,"#C52B2F",NA,"#C52B2F","#88C1CA"
"427",NA,NA,19746,NA,"jdai1238",NA,128,128,2,33.85,35.86,"#88C1CA",NA,"#88C1CA","#88C1CA"
"428",NA,NA,19790,NA,"lete1242",NA,1024,8192,256,-16.25,167.5,"#5E9AC4",NA,"#C52B2F","#F6C3C3"
"429","Ai29","xd358",19801,"Lendu","lend1245",NA,8192,16,2,1.57,30.23,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"430","Ai30","xd360",19856,"Lese","lese1243",NA,8192,8192,8192,1.55,28.44,"#C52B2F",NA,"#C52B2F",NA
"431","Ed9","xd652",19889,"Li","hlai1239",NA,128,16,2,19.21,109.71,"#88C1CA",NA,"#F6C3C3","#88C1CA"
"432",NA,NA,19922,NA,"geno1240",NA,128,8192,1024,44.31,8.39,"#88C1CA",NA,"#C52B2F","#5E9AC4"
"433",NA,NA,19966,NA,"lisu1250",NA,128,8192,1024,22.55,94.02,"#88C1CA",NA,"#C52B2F","#5E9AC4"
"434",NA,NA,19977,NA,"samo1265",NA,8192,16,2,56.02,21.21,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"435","Ed2","xd645",20032,"Lolo","sich1238",NA,1024,128,2,30.13,102.93,"#5E9AC4",NA,"#88C1CA","#88C1CA"
"436",NA,NA,20087,NA,"scot1243",NA,8192,16,2,55.88,-4.28,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"437","Ab3","xd26",20098,"Lozi","lozi1239","4",8192,8192,2,-14.64,24.95,"#C52B2F","#F1635B","#C52B2F","#88C1CA"
"438",NA,NA,20109,NA,"Mal: mall1246; Prai: phai1238",NA,8192,16,2,19.12,101.22,"#C52B2F",NA,"#F6C3C3","#88C1CA"
"439","Ae16","xd134",20131,"Lulua","luba1249",NA,8192,8192,1024,-4.31,27.24,"#C52B2F",NA,"#C52B2F","#5E9AC4"
