"","soc_id.strat","xd_id.x","soc_id.canto","pref_name_for_society.x","Glottocode","SocialFactors_V33_code","line_23","line_4","line_22","Society_latitude","Society_longitude","Language_family","line23_col","stratification_col","line4_col","line22_col"
"647",NA,NA,25191,NA,"nucl1632",NA,1024,8192,64,-2.61,140.56,"Sentanic","#C52B2F",NA,"#C52B2F","#F1635B"
"648",NA,NA,25213,NA,"sepi1257",NA,128,16,2,-3.98,141.71,"Sepik","#F1635B",NA,"#F6C3C3","#88C1CA"
"649","Ch1","xd546",25220,"Serbs","serb1264","4",16,8192,64,44.62,18.47,"Indo-European","#F6C3C3","#F1635B","#C52B2F","#F1635B"
"650",NA,NA,25224,NA,"mont1282",NA,8192,128,2,42.71,19.37,"Indo-European","#5E9AC4",NA,"#88C1CA","#88C1CA"
"651","Ni4","xd1289",25246,"Seri","seri1257","1",8192,16,2,28.99,-112.38,"Seri (language isolate)","#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA"
"652",NA,NA,25350,NA,"shee1238",NA,1024,8192,1024,23.04,114.81,"Hmong-Mien","#C52B2F",NA,"#C52B2F","#5E9AC4"
"653","Ee6","xd658",25378,"Sherpa","sher1255","4",16,16,2,27.67,85.63,"Sino-Tibetan","#F6C3C3","#F1635B","#F6C3C3","#88C1CA"
"654",NA,NA,25389,NA,"shet1241",NA,1024,16,2,60.54,-1.38,"Indo-European","#C52B2F",NA,"#F6C3C3","#88C1CA"
"655","Ai6","xd380",25411,"Shilluk","shil1265","4",8192,128,2,9.52,31.53,"Nilotic","#5E9AC4","#F1635B","#88C1CA","#88C1CA"
"656",NA,NA,25422,NA,"ship1255",NA,8192,128,2,-7.17,-74.82,"Pano-Tacanan","#5E9AC4",NA,"#88C1CA","#88C1CA"
"657","Ee5","xd657",25427,"Shina","shin1264","5",128,16,2,34.65,75.29,"Indo-European","#F1635B","#C52B2F","#F6C3C3","#88C1CA"
"658",NA,NA,25444,NA,"tach1250",NA,128,128,2,31.06,-7.92,"Afro-Asiatic","#F1635B",NA,"#88C1CA","#88C1CA"
"659","Ab18","xd19",25466,"Shona","shon1251",NA,8192,8192,8192,-17.36,30.19,"Atlantic-Congo","#5E9AC4",NA,"#C52B2F",NA
"660",NA,NA,25477,NA,"shos1248",NA,128,128,2,41.01,-116.01,"Uto-Aztecan","#F1635B",NA,"#88C1CA","#88C1CA"
"661",NA,NA,25532,NA,"mbul1263",NA,8192,16,2,-5.33,147.87,"Austronesian","#5E9AC4",NA,"#F6C3C3","#88C1CA"
