,index,canto_coding_id,region,division,subregion,area_kingdom,culture,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37,Number of Samples
60,0,9882,North,India,Gangetic Plain,Bihar/ Uttar Pradesh,Bhojpuri,25.88,84.29,0.62,0.81,0.62,0.77,0.54,0.54,0.88,0.54,1.0,0.08,1.0,0.38,1.0,0.85,0.69,0.15,0.77,0.08,0.08,0.54,0.31,0.0,0.31,0.77,0.77,0.69,0.69,0.69,0.08,0.08,0.54,0.42,0.23,0.31,0.54,0.77,0.31,11
62,0,9883,North,India/ Bangladesh,Bay of Bengal,Bengal,Bengal,22.57,88.36,0.15,0.85,0.85,0.31,0.08,0.08,1.0,0.31,1.0,0.31,0.85,0.08,1.0,0.69,0.69,0.19,0.77,0.62,0.31,0.77,0.31,0.08,0.08,0.38,0.77,0.38,1.0,0.38,0.08,0.31,0.54,0.77,0.23,0.31,0.77,1.0,1.0,3
63,0,9884,North,India/ Bangladesh,Bay of Bengal,Bengal,Bengal,22.57,88.36,0.15,1.0,0.85,0.31,0.08,0.08,1.0,0.31,1.0,0.54,1.0,0.08,1.0,0.69,0.69,0.15,0.88,0.08,0.31,0.77,0.42,0.08,0.31,0.85,0.77,0.69,0.69,0.38,0.08,0.54,0.54,0.77,0.23,0.31,0.54,0.42,0.31,3
64,0,9885,North,India,E C India/ E Central Tribal Area,Odisha,Paroja,18.85,82.73,0.38,0.23,1.0,0.77,0.54,0.77,0.54,1.0,1.0,0.77,0.46,0.23,0.35,0.85,0.85,0.85,0.54,1.0,0.31,0.54,0.31,0.08,0.54,0.85,0.77,1.0,1.0,0.69,0.54,0.77,1.0,0.42,0.35,0.31,0.31,0.31,0.54,4
65,0,9886,North,India,E C India/ E Central Tribal Area,Odisha,Paroja,18.85,82.73,0.92,0.23,1.0,0.77,0.54,1.0,1.0,0.54,1.0,0.54,0.35,0.23,0.35,0.85,0.0,0.62,0.77,0.85,0.08,0.77,0.54,0.08,0.77,0.85,0.77,1.0,1.0,0.38,0.54,0.54,1.0,0.77,0.23,0.31,0.54,0.31,0.77,4
66,0,9887,North,India,E C India/ E Central Tribal Area,Odisha,Paroja,18.85,82.73,0.38,0.08,0.08,0.88,0.77,1.0,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.85,0.69,0.77,0.85,0.08,0.77,0.54,0.35,0.54,0.85,0.42,1.0,0.08,0.69,0.54,0.54,1.0,0.77,0.35,0.31,0.77,0.31,0.54,4
67,0,9888,North,India,E C India/ E Central Tribal Area,Odisha,Paroja,18.32,82.87,0.77,0.69,0.15,0.88,0.77,0.77,1.0,0.31,1.0,0.54,0.46,0.23,0.35,0.85,0.85,0.85,0.77,1.0,0.31,0.54,0.54,0.23,0.54,0.85,0.77,0.69,0.69,0.69,0.54,0.54,0.54,0.77,0.23,0.31,0.54,0.31,0.54,4
68,0,9889,North,India,E C India/ E Central Tribal Area,Andhra Pradesh/ Odisha,Hill Saora,19.58,84.68,0.46,0.62,0.54,0.88,0.77,0.54,0.88,1.0,0.31,0.54,0.85,1.0,0.23,1.0,0.69,0.85,0.77,1.0,0.08,0.31,0.77,1.0,0.54,0.85,0.42,0.69,0.08,0.69,1.0,0.54,0.08,0.54,0.35,0.54,0.77,0.54,0.31,3
69,0,9890,North,India,E C India/ E Central Tribal Area,Andhra Pradesh/ Odisha,Hill Saora,19.58,84.68,0.15,0.62,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.54,0.85,0.08,0.85,0.08,0.0,0.85,0.77,0.73,0.08,0.54,0.54,0.08,0.77,0.85,0.54,0.69,0.69,0.0,0.54,0.54,1.0,0.54,0.46,0.31,0.54,0.31,0.31,3
70,0,9891,North,India,E C India/ E Central Tribal Area,Andhra Pradesh/ Odisha,Hill Saora,19.58,84.68,0.92,0.92,0.85,0.77,0.54,0.54,1.0,0.54,1.0,0.54,0.46,0.23,0.46,0.85,0.69,0.23,0.77,0.08,0.31,0.54,0.54,0.08,0.54,0.85,0.54,1.0,1.0,0.69,0.54,0.54,0.54,0.54,0.23,0.54,0.31,0.31,0.31,3
