"","soc_id.ea","xd_id","soc_id.canto","pref_name_for_society","Glottocode","stratification","gender_complementarity","line_23","line_4","line_22","Society_latitude","Society_longitude","line23_col","stratification_col","line4_col","line22_col","gender_col"
"646","Ej14","xd721",25180,"Senoi","sema1266",1,3,16,8192,8,4.13,101.48,"#F6C3C3","#5E9AC4","#C52B2F","#C52B2F","#F6C3C3"
"651","Ni4","xd1289",25246,"Seri","seri1257",1,NA,8192,16,2,28.99,-112.38,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA",NA
"653","Ee6","xd658",25378,"Sherpa","sher1255",2,NA,16,16,2,27.67,85.63,"#F6C3C3","#88C1CA","#F6C3C3","#88C1CA",NA
"655","Ai6","xd380",25411,"Shilluk","shil1265",5,4,8192,128,2,9.52,31.53,"#C52B2F","#C52B2F","#88C1CA","#88C1CA","#F1635B"
"657","Ee5","xd657",25427,"Shina","shin1264",4,5,128,16,2,34.65,75.29,"#88C1CA","#F1635B","#F6C3C3","#88C1CA","#C52B2F"
"659","Ab18","xd19",25466,"Shona","shon1251",NA,4,8192,8192,8192,-17.36,30.19,"#C52B2F",NA,"#C52B2F",NA,"#F1635B"
"663","Ca16","xd422",25554,"Sidama","sida1246",NA,4,1024,8192,8,6.74,38.37,"#5E9AC4",NA,"#C52B2F","#C52B2F","#F1635B"
"664","Nb20","xd1080",25576,"Tillamook","till1254",4,1,1024,16,2,44.91,-124.01,"#5E9AC4","#F1635B","#F6C3C3","#88C1CA","#5E9AC4"
"665","Ie32","xd810",25653,"Sio","sioo1240",2,2,128,128,2,-5.96,147.35,"#88C1CA","#88C1CA","#88C1CA","#88C1CA","#88C1CA"
"666","Se1","xd1362",25675,"Sirionó","siri1273",1,1,8192,16,2,-15.53,-63.97,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"690","Cj7","xd593",26346,"Lebanese","nort3139",5,1,2,2,2,34.81,38.99,"#F1635B","#C52B2F","#F1635B","#88C1CA","#5E9AC4"
"692","Ia7","xd747",26379,"Tagbanua","tagb1258",4,4,1024,1024,2,9.54,118.51,"#5E9AC4","#F1635B","#5E9AC4","#88C1CA","#F1635B"
"693","Ij8","xd897",26401,"Tahitians","tahi1242",4,2,8192,8192,2,-17.61,-149.31,"#C52B2F","#F1635B","#C52B2F","#88C1CA","#88C1CA"
"695","Ig15","xd847",26467,"Bakovi","bola1250",NA,NA,1024,16,2,-5.43,149.66,"#5E9AC4",NA,"#F6C3C3","#88C1CA",NA
"697","Eh3","xd689",26522,"Tanala","tana1285",4,3,8192,8192,256,-22.15,48.03,"#C52B2F","#F1635B","#C52B2F","#F6C3C3","#F6C3C3"
"698","Eh7","xd693",26533,"Antandroy","tand1256",4,1,8192,8192,2,-24.81,45.15,"#C52B2F","#F1635B","#C52B2F","#88C1CA","#5E9AC4"
"700","Nh6","xd1282",26577,"Taos","taos1236",1,2,8192,16,2,36.47,-105.56,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#88C1CA"
"701","Sd2","xd1354",26588,"Tapirapé","tapi1254",1,2,8192,16,2,-10.54,-50.54,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#88C1CA"
"703","Nj8","xd1307",26610,"Tarasco","pure1242",4,1,8192,8192,256,19.98,-101.71,"#C52B2F","#F1635B","#C52B2F","#F6C3C3","#5E9AC4"
"706","Sg4","xd1386",26731,"Tehuelche","tehu1242",1,1,8192,16,2,-47.58,-68.32,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"709","Ne8","xd1227",26940,"Teton","lako1247",1,1,8192,128,2,46.37,-103.95,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#5E9AC4"
"710","Ej9","xd731",26973,"Thai","thai1261",2,2,16,16,2,17.75,104.68,"#F6C3C3","#88C1CA","#F6C3C3","#88C1CA","#88C1CA"
"717","Ii2","xd881",27083,"Tikopia","tiko1237",4,NA,8192,128,2,-12.28,168.82,"#C52B2F","#F1635B","#88C1CA","#88C1CA",NA
"719","Ig3","xd855",27132,"Kurtatchi","tinp1237",4,5,8192,8192,8192,-6.24,155.38,"#C52B2F","#F1635B","#C52B2F",NA,"#C52B2F"
"720","Ah3","xd320",27160,"Tiv","tivv1240",1,3,128,16,2,6.88,9.26,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#F6C3C3"
"722","Sh8","xd1395",27215,"Toba","toba1269",1,NA,8192,128,2,-24.41,-60.45,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA",NA
"725","Eg4","xd680",27259,"Toda","toda1252",1,1,1024,128,2,11.42,77.02,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA","#5E9AC4"
"727","Nb6","xd1103",27303,"Tolowa","tolo1259",2,NA,128,16,2,41.92,-124.12,"#88C1CA","#88C1CA","#F6C3C3","#88C1CA",NA
"728","Af11","xd188",27314,"Toma","toma1245",1,5,8192,8192,256,9.94,-9.69,"#C52B2F","#5E9AC4","#C52B2F","#F6C3C3","#C52B2F"
"729","Ii12","xd878",27340,"Tongans","tong1325",4,2,8192,8192,256,-21.17,-175.25,"#C52B2F","#F1635B","#C52B2F","#F6C3C3","#88C1CA"
"730","Ae26","xd145",27369,"Topoke","poke1238",4,NA,8192,8192,2,0.74,23.91,"#C52B2F","#F1635B","#C52B2F","#88C1CA",NA
"739","If2","xd833",27490,"Trukese","chuu1238",1,NA,8192,16,2,7.41,151.78,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA",NA
"740","Si2","xd1399",27501,"Trumai","trum1247",1,3,8192,128,2,-11.81,-53.57,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#F6C3C3"
"743","Se12","xd1365",27589,"Tucano","tuca1252",NA,NA,8192,16,2,0.58,-69.58,"#C52B2F",NA,"#F6C3C3","#88C1CA",NA
"744","Se2","xd1366",27600,"Ticuna","ticu1245",1,NA,8192,128,2,-3.66,-69.87,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA",NA
"745","ec16","xd624",27666,"Evenk","even1259",1,1,8192,16,2,70.67,130.91,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"747","Eb5","xd613",27743,"Turkmen","turk1304",4,NA,16,16,2,37.96,58.33,"#F6C3C3","#F1635B","#F6C3C3","#88C1CA",NA
"748","Ci5","xd581",27765,"Turks","nucl1301",5,1,16,16,2,38.96,35.24,"#F6C3C3","#C52B2F","#F6C3C3","#88C1CA","#5E9AC4"
"754","If9","xd840",27930,"Ulithians","ulit1238",1,5,1024,128,2,9.96,139.61,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA","#C52B2F"
"762","Ac30","xd56",28172,"Plateau Tonga","tong1318",1,5,8192,128,2,-17.81,25.18,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#C52B2F"
"767","Ej4","xd726",28271,"Annamese","viet1252",5,2,2,16,2,18.39,106.76,"#F1635B","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"769","Ia10","xd733",28304,"Bunun","bunu1267",1,5,8192,8192,1024,23.41,121.03,"#C52B2F","#5E9AC4","#C52B2F","#5E9AC4","#C52B2F"
"771","Ig7","xd859",28326,"Lakalai","naka1262",2,4,8192,8192,8,-5.62,150.89,"#C52B2F","#88C1CA","#C52B2F","#C52B2F","#F1635B"
