canto_coding_id,region,division,subregion,area_kingdom,culture,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
3767,South Asia,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,19.24,82.02,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.77,1.0,0.08,0.08,0.08,0.69,0.54,0.77,0.85,0.69,0.54,0.54,0.08,0.54,0.85,0.42,0.08,1.0,0.38,0.08,0.77,1.0,0.77,0.62,0.31,0.54,0.77,0.77
3768,South Asia,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,19.24,82.02,0.38,0.08,0.08,0.54,0.0,0.54,0.08,0.08,0.08,0.54,0.46,0.23,0.08,0.08,0.69,0.92,0.77,0.85,0.08,0.31,0.54,0.08,0.77,0.85,0.77,1.0,1.0,0.38,0.54,0.54,1.0,0.54,0.62,0.54,0.0,0.54,0.54
3769,South Asia,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,19.24,82.02,0.69,0.08,0.08,0.77,0.0,0.42,0.08,0.08,0.08,0.31,0.85,0.38,0.08,0.08,0.85,0.5,0.54,0.85,0.08,0.77,0.31,0.08,0.54,0.69,0.77,0.69,1.0,0.69,0.54,0.31,1.0,0.31,0.62,0.31,0.54,0.54,0.54
3770,South Asia,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,19.24,82.02,0.46,0.08,0.08,0.77,0.77,0.77,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.08,0.77,0.77,0.23,0.31,0.31,0.54,0.08,0.31,0.85,0.77,0.69,1.0,0.69,1.0,0.54,1.0,0.54,0.62,0.54,0.77,0.54,0.54
3771,South Asia,Afghanistan/ Pakistan/ India,Indus Valley,"Punjab, India",Bhatra Sikh,19.24,82.02,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,0.92,0.08,0.08,0.08,0.69,0.54,0.77,1.0,0.69,0.31,0.31,0.08,0.0,1.0,0.54,0.69,1.0,1.0,1.0,0.08,1.0,0.31,0.0,0.0,0.77,0.42,0.31
3818,South Asia,India/ Nepal/ Tibet,Himalayan Mtns & Foothills,Uttarakhand,Garhwal,30.21,78.92,0.69,0.15,0.15,0.54,0.54,0.54,0.31,0.08,0.08,0.54,0.69,0.23,0.69,0.08,0.69,0.92,0.77,1.0,0.85,0.54,0.31,0.08,0.54,0.69,0.54,0.69,0.69,0.69,0.0,0.54,1.0,0.54,0.62,0.31,0.31,0.42,0.08
3819,South Asia,India/ Nepal/ Tibet,Himalayan Mtns & Foothills,Uttarakhand,Garhwal,30.21,78.92,0.62,0.15,0.38,0.54,0.54,0.54,0.54,0.77,0.54,0.54,0.85,0.23,0.85,0.54,0.69,0.62,0.88,1.0,1.0,0.31,0.54,0.08,0.31,0.69,0.77,0.69,0.69,0.69,0.54,0.54,0.54,0.54,0.35,0.31,0.54,0.54,0.31
3820,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",22.5,85.5,0.15,0.62,0.54,0.31,0.08,0.08,0.77,0.54,0.08,0.54,0.85,0.08,0.92,0.38,0.69,0.46,0.77,0.23,0.31,0.54,0.31,0.08,0.31,0.85,0.77,0.38,0.38,0.69,0.54,0.54,0.08,0.77,0.23,0.31,0.54,0.31,0.54
3821,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",22.5,85.5,0.15,0.62,0.54,0.31,0.08,0.08,1.0,0.54,0.31,0.54,0.85,0.08,0.85,0.38,0.69,0.46,0.77,0.62,0.31,0.77,0.54,0.08,0.31,0.85,0.77,0.69,0.69,0.69,0.54,0.54,0.54,0.31,0.62,0.31,0.54,0.31,0.54
3822,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.69,0.77,0.08,0.31,0.77,0.54,0.08,0.54,0.85,0.77,0.69,1.0,0.69,0.54,0.31,0.54,0.42,0.62,0.54,0.54,0.77,0.31
3823,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.38,0.54,0.23,0.31,0.77,0.31,0.08,0.31,0.69,0.54,0.69,1.0,1.0,0.54,0.31,0.54,0.77,0.62,0.31,0.54,0.42,0.31
3824,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",23.34,86.36,0.62,0.23,0.38,0.77,0.54,0.54,0.54,0.54,0.77,0.54,0.46,0.38,0.46,0.69,0.69,0.46,0.77,0.23,0.08,0.54,0.54,0.08,0.77,0.69,0.77,1.0,1.0,0.69,1.0,0.54,0.54,0.54,0.62,0.54,0.54,0.42,0.54
3825,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",23.34,86.36,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.08,1.0,0.08,0.08,0.08,0.69,0.15,0.77,0.08,0.31,0.77,0.54,0.08,0.31,0.85,0.42,0.08,1.0,0.69,0.54,0.08,0.54,0.77,0.62,0.54,0.54,0.77,0.31
3826,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",23.34,86.36,0.15,0.92,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.54,0.46,0.08,0.46,0.69,0.69,0.62,0.77,0.92,0.08,0.54,0.54,0.08,0.77,0.77,0.77,0.69,1.0,0.38,0.54,0.54,1.0,0.77,0.35,0.31,0.77,0.77,0.77
3827,South Asia,India,E C India/ E Central Tribal Area,Chota Nagpur Plateau,"Gadaba, Bhumij",23.34,86.36,0.15,0.15,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.54,0.46,0.08,0.46,0.08,0.69,0.23,0.88,0.31,0.08,0.31,0.54,0.08,0.77,0.77,0.54,0.69,0.69,0.69,0.54,0.54,0.54,0.54,0.46,0.31,0.54,0.42,0.31
